"postseason","avg_w","avg_barthag","avg_efg_o","avg_efg_d","avg_tor","avg_tord","avg_adjoe","avg_adjde","eff_pm","avg_2p_o","avg_2p_d","avg_3p_o","avg_ftr","avg_ftrd","avg_adj_t","avg_wab"
"Champions","33","0.9623","54.64","46.32","16.79","20.13","121.36","90.98","30.38","53.60","45.59","37.62","33.51","30.63","67.27","8.54"
"2ND","32","0.9478","53.77","46.42","15.82","18.12","118.91","91.31","27.60","53.84","45.41","35.65","35.15","28.33","67.70","7.01"
"F4","30","0.9224","53.01","46.44","17.08","19.30","116.76","93.08","23.68","51.52","45.80","36.89","34.19","30.42","66.44","5.67"
"E8","28","0.9140","53.26","46.96","16.87","19.12","116.27","93.04","23.24","52.89","45.93","36.01","36.00","31.40","67.59","5.65"
"S16","26","0.9012","52.71","47.14","17.18","18.95","114.97","93.72","21.25","51.98","46.17","36.05","34.76","31.00","67.67","4.38"
"R32","25","0.8592","52.08","47.49","17.22","19.23","112.62","95.11","17.51","51.42","46.61","35.51","35.03","32.38","67.28","2.89"
"R64","23","0.7303","51.79","48.18","17.80","18.88","108.72","98.30","10.42","50.95","47.27","35.55","36.03","32.90","67.58","-0.59"
"R68","20","0.5807","50.66","49.00","18.10","18.82","105.93","102.06","3.87","50.02","48.91","34.51","37.42","34.92","68.42","-4.31"
NULL,"14","0.4221","49.36","50.64","18.99","18.54","101.22","104.73","-3.51","48.58","49.86","33.84","34.27","35.37","67.78","-9.73"
